Date,Event Name,Link
"Saturday, January 4, 2025",World Braille Day,https://www.internationaldays.org/event/world-braille-day
"Friday, January 24, 2025",International Day of Education,https://www.internationaldays.org/event/international-day-of-education
"Monday, January 27, 2025",International Day of Commemoration in memory of the victims of the Holocaust,https://www.internationaldays.org/event/international-day-of-commemoration-memory-victims-holocaust
"Sunday, February 2, 2025",World Wetlands Day,https://www.internationaldays.org/event/world-wetlands-day
"Tuesday, February 4, 2025",World Cancer Day,https://www.internationaldays.org/event/world-cancer-day
"Thursday, February 6, 2025",International Day of Zero Tolerance to Female Genital Mutilation,https://www.internationaldays.org/event/international-day-of-zero-tolerance-female-genital-mutilation
"Tuesday, February 11, 2025",International Day of Women and Girls in Science,https://www.internationaldays.org/event/international-day-women-and-girls-science
"Thursday, February 13, 2025",World Radio Day,https://www.internationaldays.org/event/world-radio-day
"Thursday, February 20, 2025",World Day of Social Justice,https://www.internationaldays.org/event/world-day-social-justice
"Friday, February 21, 2025",International Mother Language Day,https://www.internationaldays.org/event/international-mother-language-day
"Saturday, March 1, 2025",Zero Discrimination Day,https://www.internationaldays.org/event/zero-discrimination-day
"Monday, March 3, 2025",World Wildlife Day,https://www.internationaldays.org/event/world-wildlife-day
"Saturday, March 8, 2025",International Women’s Day,https://www.internationaldays.org/event/international-womens-day
"Thursday, March 20, 2025",International Day of Happiness,https://www.internationaldays.org/event/international-day-happiness
"Friday, March 21, 2025",International Day for the Elimination of Racial Discrimination,https://www.internationaldays.org/event/international-day-elimination-racial-discrimination
"Saturday, March 22, 2025",World Water Day,https://www.internationaldays.org/event/world-water-day
"Monday, March 24, 2025",World Tuberculosis Day,https://www.internationaldays.org/event/world-tuberculosis-day
"Wednesday, April 2, 2025",World Autism Awareness Day,https://www.internationaldays.org/event/world-autism-awareness-day
"Monday, April 7, 2025",World Health Day,https://www.internationaldays.org/event/world-health-day
"Tuesday, April 22, 2025",International Mother Earth Day,https://www.internationaldays.org/event/international-mother-earth-day
"Wednesday, April 23, 2025",World Book and Copyright Day,https://www.internationaldays.org/event/world-book-and-copyright-day
"Friday, April 25, 2025",World Malaria Day,https://www.internationaldays.org/event/world-malaria-day
"Thursday, May 1, 2025",International Workers’ Day (May Day),https://www.internationaldays.org/event/may-day
"Saturday, May 3, 2025",World Press Freedom Day,https://www.internationaldays.org/event/world-press-freedom-day
"Thursday, May 15, 2025",International Day of Families,https://www.internationaldays.org/event/international-day-families
"Wednesday, May 21, 2025",World Day for Cultural Diversity for Dialogue and Development,https://www.internationaldays.org/event/world-day-cultural-diversity-dialogue-and-development
"Thursday, May 22, 2025",International Day for Biological Diversity,https://www.internationaldays.org/event/international-day-biological-diversity
"Thursday, May 29, 2025",International Day of UN Peacekeepers,https://www.internationaldays.org/event/international-day-un-peacekeepers
"Sunday, June 1, 2025",Global Day of Parents,https://www.internationaldays.org/event/global-day-parents
"Thursday, June 5, 2025",World Environment Day,https://www.internationaldays.org/event/world-environment-day
"Sunday, June 8, 2025",World Oceans Day,https://www.internationaldays.org/event/world-oceans-day
"Thursday, June 12, 2025",World Day Against Child Labour,https://www.internationaldays.org/event/world-day-against-child-labour
"Saturday, June 14, 2025",World Blood Donor Day,https://www.internationaldays.org/event/world-blood-donor-day
"Friday, June 20, 2025",World Refugee Day,https://www.internationaldays.org/event/world-refugee-day
"Saturday, June 21, 2025",International Day of Yoga,https://www.internationaldays.org/event/international-day-yoga
"Friday, July 11, 2025",World Population Day,https://www.internationaldays.org/event/world-population-day
"Tuesday, July 15, 2025",World Youth Skills Day,https://www.internationaldays.org/event/world-youth-skills-day
"Friday, July 18, 2025",Nelson Mandela International Day,https://www.internationaldays.org/event/nelson-mandela-international-day
"Saturday, August 9, 2025",International Day of the World’s Indigenous Peoples,https://www.internationaldays.org/event/international-day-worlds-indigenous-peoples
"Tuesday, August 12, 2025",International Youth Day,https://www.internationaldays.org/event/international-youth-day
"Tuesday, August 19, 2025",World Humanitarian Day,https://www.internationaldays.org/event/world-humanitarian-day
"Saturday, August 23, 2025",International Day for the Remembrance of the Slave Trade and its Abolition,https://www.internationaldays.org/event/international-day-remembrance-slave-trade-and-its-abolition
"Friday, September 5, 2025",International Day of Charity,https://www.internationaldays.org/event/international-day-charity
"Monday, September 8, 2025",International Literacy Day,https://www.internationaldays.org/event/international-literacy-day
"Monday, September 15, 2025",International Day of Democracy,https://www.internationaldays.org/event/international-day-democracy
"Sunday, September 21, 2025",International Day of Peace,https://www.internationaldays.org/event/international-day-peace
"Saturday, September 27, 2025",World Tourism Day,https://www.internationaldays.org/event/world-tourism-day
"Wednesday, October 1, 2025",International Day of Older Persons,https://www.internationaldays.org/event/international-day-older-persons
"Thursday, October 2, 2025",International Day of Non-Violence,https://www.internationaldays.org/event/international-day-non-violence
"Sunday, October 5, 2025",World Teachers’ Day,https://www.internationaldays.org/event/world-teachers-day
"Friday, October 10, 2025",World Mental Health Day,https://www.internationaldays.org/event/world-mental-health-day
"Thursday, October 16, 2025",World Food Day,https://www.internationaldays.org/event/world-food-day
"Friday, October 17, 2025",International Day for the Eradication of Poverty,https://www.internationaldays.org/event/international-day-eradication-poverty
"Friday, October 24, 2025",United Nations Day,https://www.internationaldays.org/event/united-nations-day
"Friday, November 14, 2025",World Diabetes Day,https://www.internationaldays.org/event/world-diabetes-day
"Sunday, November 16, 2025",International Day for Tolerance,https://www.internationaldays.org/event/international-day-tolerance
"Wednesday, November 19, 2025",World Toilet Day,https://www.internationaldays.org/event/world-toilet-day
"Thursday, November 20, 2025",Universal Children’s Day,https://www.internationaldays.org/event/universal-childrens-day
"Tuesday, November 25, 2025",International Day for the Elimination of Violence against Women,https://www.internationaldays.org/event/international-day-elimination-violence-against-women
"Monday, December 1, 2025",World AIDS Day,https://www.internationaldays.org/event/world-aids-day
"Wednesday, December 3, 2025",International Day of Persons with Disabilities,https://www.internationaldays.org/event/international-day-persons-disabilities
"Friday, December 5, 2025",World Soil Day,https://www.internationaldays.org/event/world-soil-day
"Wednesday, December 10, 2025",Human Rights Day,https://www.internationaldays.org/event/human-rights-day
"Thursday, December 18, 2025",International Migrants Day,https://www.internationaldays.org/event/international-migrants-day
"Saturday, December 20, 2025",International Human Solidarity Day,https://www.internationaldays.org/event/international-human-solidarity-day
